diag_class,n,p,mean_local_delta,p_times_delta
8,1235246,0.14470560850413688,-2.01519940157669,-0.29161065566232747
1,1235036,0.14468100759242708,-2.0147210283748813,-0.2914918684029287
4,1234077,0.1445686634289524,-2.015379105193598,-0.2913606635404765
2,1234255,0.1445895156303064,-2.013750805141563,-0.2911672535155581
6,462230,0.05414894961721567,-2.4767929385803606,-0.1341157360434635
9,461589,0.05407385826290151,-2.474422050785439,-0.1338015472567699
12,462580,0.05418995113673199,-2.270774784902071,-0.12305317463636632
3,462420,0.0541712075849531,-2.2689676052073873,-0.12291271514522328
5,461920,0.05411263398564408,-2.270711378593696,-0.12287417371687795
10,461606,0.05407584976527802,-2.2646867675030222,-0.12246486140490653
13,186667,0.021867516124433287,-2.585175740757606,-0.056531372195510715
11,186481,0.021845726745490332,-2.5821987226580725,-0.056410007697742424
7,186406,0.021836940705593978,-2.5800832591225604,-0.05634112514495501
14,185741,0.02175903781851298,-2.5872586020318615,-0.0562962577678843
15,80015,0.009373533097422304,-2.51579078922702,-0.023581848229009654
