mechanism,amplitude_model,n_conditions,amplitude_mean,amplitude_sd,amplitude_cv,R2_in_sample_full,R2_LOO,corr_LOO,features
fate_all,rule_only,16,33.89789302498073,12.56777676108967,0.3707539212489577,,-0.13838209414638802,-0.9999999283659209,is_highlife
fate_all,size_only,16,33.89789302498073,12.56777676108967,0.3707539212489577,,0.7961259465469053,0.8923659406284129,log2L_centered
fate_all,rho_only,16,33.89789302498073,12.56777676108967,0.3707539212489577,,-0.27281033631058893,-0.3941731881907923,rho_centered
fate_all,size_rho,16,33.89789302498073,12.56777676108967,0.3707539212489577,,0.9695328619523171,0.9846693272932917,"log2L_centered,rho_centered"
fate_all,rule_size_rho,16,33.89789302498073,12.56777676108967,0.3707539212489577,,0.9628616929696399,0.9812897713995091,"is_highlife,log2L_centered,rho_centered"
fate_all,full,16,33.89789302498073,12.56777676108967,0.3707539212489577,0.9937522355362132,0.9767650311340579,0.9889455744256223,"is_highlife,log2L_centered,rho_centered,rho_x_log2L,rho_x_rule,L_x_rule"
iso_count,rule_only,16,33.652005714746814,12.427553699373723,0.3692960771704437,,-0.13838236293453487,-0.9999999882104965,is_highlife
iso_count,size_only,16,33.652005714746814,12.427553699373723,0.3692960771704437,,0.8023061240638206,0.8958077370568356,log2L_centered
iso_count,rho_only,16,33.652005714746814,12.427553699373723,0.3692960771704437,,-0.2816214546755724,-0.41511768187316184,rho_centered
iso_count,size_rho,16,33.652005714746814,12.427553699373723,0.3692960771704437,,0.9703322799251124,0.9850740538610387,"log2L_centered,rho_centered"
iso_count,rule_size_rho,16,33.652005714746814,12.427553699373723,0.3692960771704437,,0.9637925037584367,0.9817622609067624,"is_highlife,log2L_centered,rho_centered"
iso_count,full,16,33.652005714746814,12.427553699373723,0.3692960771704437,0.9936860124592024,0.9770294557181526,0.9890795797450965,"is_highlife,log2L_centered,rho_centered,rho_x_log2L,rho_x_rule,L_x_rule"
local_window_delta_loss_gain,rule_only,16,33.67425383953557,12.435566599623487,0.36929004155165646,,-0.13838236335892828,-0.9999999883049882,is_highlife
local_window_delta_loss_gain,size_only,16,33.67425383953557,12.435566599623487,0.36929004155165646,,0.8023512166219273,0.8958328049870329,log2L_centered
local_window_delta_loss_gain,rho_only,16,33.67425383953557,12.435566599623487,0.36929004155165646,,-0.28162437235328586,-0.41518022669415183,rho_centered
local_window_delta_loss_gain,size_rho,16,33.67425383953557,12.435566599623487,0.36929004155165646,,0.9703299653488825,0.9850728883838997,"log2L_centered,rho_centered"
local_window_delta_loss_gain,rule_size_rho,16,33.67425383953557,12.435566599623487,0.36929004155165646,,0.9637901586493812,0.9817610780772913,"is_highlife,log2L_centered,rho_centered"
local_window_delta_loss_gain,full,16,33.67425383953557,12.435566599623487,0.36929004155165646,0.9936849444067781,0.9770278087484097,0.9890787443748944,"is_highlife,log2L_centered,rho_centered,rho_x_log2L,rho_x_rule,L_x_rule"
local_window_loss,rule_only,16,33.635491530994365,12.421084286793054,0.36928505341885454,,-0.13838237445291157,-0.9999999907750852,is_highlife
local_window_loss,size_only,16,33.635491530994365,12.421084286793054,0.36928505341885454,,0.8024765780591835,0.8959024927491865,log2L_centered
local_window_loss,rho_only,16,33.635491530994365,12.421084286793054,0.36928505341885454,,-0.2815872771118997,-0.4152673548947614,rho_centered
local_window_loss,size_rho,16,33.635491530994365,12.421084286793054,0.36928505341885454,,0.9703359961616281,0.9850760317019784,"log2L_centered,rho_centered"
local_window_loss,rule_size_rho,16,33.635491530994365,12.421084286793054,0.36928505341885454,,0.9637996043049994,0.9817659271023657,"is_highlife,log2L_centered,rho_centered"
local_window_loss,full,16,33.635491530994365,12.421084286793054,0.36928505341885454,0.993767651082498,0.9772363803401337,0.9891810697069429,"is_highlife,log2L_centered,rho_centered,rho_x_log2L,rho_x_rule,L_x_rule"
