split_type,model,n_splits,mean_test_R2_z,median_test_R2_z,min_test_R2_z,max_test_R2_z,frac_R2_positive,mean_corr_z,frac_corr_positive
leave_condition,class_counts,16,0.35908006895789935,0.368241562181293,0.26022126009847446,0.4228293983938647,1.0,0.6011410976452559,1.0
leave_condition,class_counts_plus_losses,16,0.5255743570510357,0.5277665812508219,0.47343743698678664,0.5652676987288523,1.0,0.7251272465718963,1.0
leave_condition,class_losses,16,0.5200039657463716,0.5224781836874098,0.4590622724155494,0.5649758964869276,1.0,0.721312322763522,1.0
leave_condition,fate_all,16,0.5448996578315188,0.5447701230496873,0.49710657366789635,0.5825610362311573,1.0,0.7382986236657844,1.0
leave_condition,fate_core,16,0.4177025538114082,0.43303064934040814,0.31170172453446365,0.4788342024249098,1.0,0.6469753765914348,1.0
leave_condition,iso_count,16,0.36044313318456966,0.364111905235931,0.30531794261993783,0.41528130569022426,1.0,0.6004377914271836,1.0
leave_condition,local_window_delta_loss_gain,16,0.5423317362708664,0.5369631664963408,0.5052428131734231,0.574727747087202,1.0,0.7365158048849569,1.0
leave_condition,local_window_loss,16,0.5252087006337973,0.521531518276525,0.4801574046614756,0.5607188687357881,1.0,0.7247411531162167,1.0
leave_density,class_counts,4,0.3513058804201544,0.36615976766584607,0.2847441008968734,0.38815988545205204,1.0,0.5959548545021851,1.0
leave_density,class_counts_plus_losses,4,0.5177020306973188,0.5175517039277431,0.48451516267370265,0.5511895522600865,1.0,0.7195823645187605,1.0
leave_density,class_losses,4,0.5141971993092895,0.51372726459049,0.4809490070046185,0.5483852610515598,1.0,0.7171791285926595,1.0
leave_density,fate_all,4,0.5398085717827454,0.5408692016833341,0.5122610871090665,0.5652347966552467,1.0,0.7348101776212475,1.0
leave_density,fate_core,4,0.4102069897250648,0.4290339360715253,0.3283541719572909,0.45440591479991765,1.0,0.6417738313592234,1.0
leave_density,iso_count,4,0.36034001246289926,0.3666349859050133,0.33010817522466984,0.37798190281690036,1.0,0.6004377914271837,1.0
leave_density,local_window_delta_loss_gain,4,0.5416039343994977,0.5432927361134781,0.5189347486053216,0.5608955167657133,1.0,0.7360435789429411,1.0
leave_density,local_window_loss,4,0.5251114927434086,0.5232780409283191,0.5059453835942156,0.5479445055227807,1.0,0.7247411531162169,1.0
leave_rule,class_counts,2,0.3600360993150425,0.3600360993150425,0.3584324073425943,0.3616397912874907,1.0,0.6001063085154644,1.0
leave_rule,class_counts_plus_losses,2,0.5262960749679142,0.5262960749679142,0.5242333797055906,0.5283587702302377,1.0,0.7255814993953609,1.0
leave_rule,class_losses,2,0.5205863574146059,0.5205863574146059,0.5177278211503287,0.5234448936788831,1.0,0.7216462710107612,1.0
leave_rule,fate_all,2,0.5456197955322857,0.5456197955322857,0.5436171089727568,0.5476224820918146,1.0,0.7386621341598967,1.0
leave_rule,fate_core,2,0.41870455360874786,0.41870455360874786,0.4152972659675036,0.4221118412499921,1.0,0.647108769572252,1.0
leave_rule,iso_count,2,0.36046067243707497,0.36046067243707497,0.35487837901642405,0.3660429658577259,1.0,0.6004377914271835,1.0
leave_rule,local_window_delta_loss_gain,2,0.542381199027762,0.542381199027762,0.5406624775057882,0.5440999205497358,1.0,0.7364647840610856,1.0
leave_rule,local_window_loss,2,0.5252423376426165,0.5252423376426165,0.52300885347736,0.527475821807873,1.0,0.7247411531162167,1.0
leave_size,class_counts,2,0.35954235096953596,0.35954235096953596,0.34698806287400386,0.37209663906506807,1.0,0.6001961634578014,1.0
leave_size,class_counts_plus_losses,2,0.5249717630181792,0.5249717630181792,0.5183862184880781,0.5315573075482802,1.0,0.7247869811668456,1.0
leave_size,class_losses,2,0.5203304112561209,0.5203304112561209,0.5132392480386232,0.5274215744736186,1.0,0.7215735073993808,1.0
leave_size,fate_all,2,0.5455327121377918,0.5455327121377918,0.5394475450700306,0.5516178792055528,1.0,0.7386304809493065,1.0
leave_size,fate_core,2,0.4190263829027221,0.4190263829027221,0.4115412817805064,0.42651148402493777,1.0,0.6474847809615114,1.0
leave_size,iso_count,2,0.3602867776484611,0.3602867776484611,0.34957634896902634,0.3709972063278959,1.0,0.6004377914271841,1.0
leave_size,local_window_delta_loss_gain,2,0.542427720557258,0.542427720557258,0.5358490988120959,0.5490063423024201,1.0,0.7365170829657709,1.0
leave_size,local_window_loss,2,0.5251711067492666,0.5251711067492666,0.5177935801393396,0.5325486333591936,1.0,0.7247411531162169,1.0
