scope,rule,horizon,n_conditions,mean_raw_slope,sd_raw_slope,cv_raw_slope,mean_std_slope,sd_std_slope,cv_std_slope,mean_resid_R2,min_resid_R2,max_resid_R2,mean_null_R2,all_raw_slopes_negative,frac_slope_ci_negative
rule_summary,GoL,1,8,-0.8120582662392488,0.1404420519822779,0.1729457821204272,-0.6050879826236659,0.02954472240495373,0.04882715118022799,0.36689524600981527,0.30769243639130217,0.4176779708026169,0.0008898432352957703,True,1.0
rule_summary,GoL,5,8,-0.7210785559120813,0.10674240959834094,0.14803159617356262,-0.5337068641131895,0.05219293526487399,0.0977932621337001,0.28722660648165227,0.18271238655463262,0.3586493844719736,0.0007239981015697561,True,1.0
rule_summary,GoL,10,8,-0.718031715631827,0.10099894329654327,0.1406608386476763,-0.5140653811832525,0.048741507829346456,0.09481577560632587,0.26634198389337627,0.17847312538701976,0.3251887723404536,0.0018496818347725347,True,1.0
rule_summary,GoL,25,8,-0.7061846077423467,0.1066468446438197,0.15101836470865004,-0.47540396632626647,0.048001947754056584,0.10097086089730309,0.22802509481340616,0.16014537227130976,0.2759874349623964,0.0019676168480405043,True,1.0
rule_summary,GoL,50,8,-0.6964905166566631,0.09308469571972623,0.1336481883004287,-0.4514274333403512,0.04367394671006356,0.09674632838948245,0.20545571449083655,0.14360497386440096,0.24323813316537934,0.0019323545485358112,True,1.0
rule_summary,GoL,100,8,-0.7130610950651018,0.09651773975639925,0.13535690058570915,-0.44066780042949794,0.04634330455112022,0.10516607863303477,0.19606734947749999,0.13900872773076056,0.25452435416601893,0.000578478406137381,True,1.0
rule_summary,GoL,200,8,-0.7096998465902015,0.08492921405632738,0.119669201655116,-0.43113963146076145,0.043007877363658104,0.09975394100941647,0.18749984964203265,0.13626351366926703,0.23663719509968717,0.00025692173319254163,True,1.0
rule_summary,HighLife,1,8,-0.7837607115134317,0.13121624024675133,0.16741875207447826,-0.595787600230701,0.021092730099947606,0.035403103541840536,0.35535215494384326,0.32748261994728634,0.38651304411574194,0.0004444740551480947,True,1.0
rule_summary,HighLife,5,8,-0.699319304689777,0.10672253040621528,0.15260915820621532,-0.5212920798867837,0.05527422676658169,0.10603312211933151,0.2744187676792521,0.18743135472075356,0.3326067116529584,0.0009455222312296091,True,1.0
rule_summary,HighLife,10,8,-0.7061180265221958,0.08316330854140694,0.11777536533217942,-0.5012387676382264,0.05397992045059649,0.10769302762600617,0.2537899050188591,0.17754549980222611,0.3154396833317843,0.0010904153951502432,True,1.0
rule_summary,HighLife,25,8,-0.6997026778415947,0.10197157301776079,0.14573557633389586,-0.4705048678059993,0.06397248979613362,0.13596562793134606,0.22495575014851782,0.13811087655706322,0.28318508521140573,0.0013176929982225832,True,1.0
rule_summary,HighLife,50,8,-0.7023637699630776,0.1058053074982433,0.15064175007724945,-0.4414113488633227,0.06365537387234275,0.14420873871076798,0.19838948470031226,0.11894789090254998,0.2582604441821731,0.001093207121395559,True,1.0
rule_summary,HighLife,100,8,-0.6887745491119276,0.10013569956879859,0.14538240371651842,-0.40842513907135714,0.04795213451362882,0.11740740205791682,0.16882307552931894,0.12513244868029016,0.2384379643193253,0.0012090493760598953,True,1.0
rule_summary,HighLife,200,8,-0.7078036977075026,0.09516234739874059,0.13444737249441674,-0.40094566983460467,0.049199101253710506,0.1227076508243201,0.16287541277777118,0.11219618330597436,0.21159593857553405,0.0011387314501479923,True,1.0
