competitor,mean_iso_minus_comp_resid_R2,frac_iso_ge_comp,frac_iso_within_5pct_of_comp
boundary_cell,0.233962508209765,1.0,1.0
block_entropy,0.22813470403662306,1.0,1.0
small_comp_4,0.22627793648599262,1.0,1.0
block_var,0.2250556512502425,1.0,1.0
small_comp_3,0.22216643666275057,1.0,1.0
orth_deg0_diag0,0.2221367991069303,1.0,1.0
moore_deg0,0.2221367991069303,1.0,1.0
small_comp_2,0.21255087561260053,1.0,1.0
moore_deg2,0.20499840205598144,1.0,1.0
moore_deg1,0.20161103265469144,1.0,1.0
orth_deg0_diag_ge1,0.0,1.0,1.0
singleton_comp,-0.03940500614841874,0.33035714285714285,0.42857142857142855
orth_deg0,-0.03940500614841874,0.33035714285714285,0.42857142857142855
small_comp_le4,-0.09616322880492871,0.0,0.008928571428571428
component_count_t0,-0.11807315861298148,0.0,0.0
